type,vlan,name,red,ip / mask,cidr,wildcard,device,oficina,departamento,direcion,cid,tmp
L2L3,5,VOZ,10.36.132.96/27,10.36.132.125 255.255.255.224,/27,0.0.0.31,,,,,,ererer
L2L3,113,Caja Maynas,10.45.132.96/29,10.45.132.101 255.255.255.248,/29,0.0.0.7,,,,,,ererer
L2L3,200,SNA,10.35.132.0/26,10.35.132.61 255.255.255.192,/26,0.0.0.63,,,,,,ererer
L2L3,201,CAJEROS,10.35.132.64/27,10.35.132.93 255.255.255.224,/27,0.0.0.31,,,,,,ererer
L2L3,207,GESTION,10.35.132.128/25,10.35.132.253 255.255.255.128,/25,0.0.0.127,,,,,,ererer
L2L3,301,CCTV,10.55.132.0/29,10.55.132.5 255.255.255.248,/29,0.0.0.7,,,,,,ererer
L2L3,302,,10.55.132.8/29,10.55.132.13 255.255.255.248,/29,0.0.0.7,,,,,,ererer
L2L3,303,ALARMA,10.55.132.16/29,10.55.132.21 255.255.255.248,/29,0.0.0.7,,,,,,ererer
L2L3,304,UPS,10.55.132.24/29,10.55.132.29 255.255.255.248,/29,0.0.0.7,,,,,,ererer
L2L3,306,**VZIP**,10.55.132.64/27,10.55.132.93 255.255.255.224,/27,0.0.0.31,,,,,,ererer
L2L3,307,IMPRESORA,10.55.132.96/29,10.55.132.101 255.255.255.248,/29,0.0.0.7,,,,,,ererer
lo,10,GESTION,,,/32,0.0.0.0,cisco,,,,,ererer
lo,20,MRA,,,/32,0.0.0.0,cisco,,,,,ererer
lo,30,GETVPN,,,/32,0.0.0.0,cisco,,,,,ererer
lo,40,DSLW_SNA,,,/32,0.0.0.0,cisco,,,,,ererer
ip_wan,,,,,,,cisco,,,,,ererer
ip_mod_peer,,PEER_GBP|IP_MODEM,,,,,cisco,,,,,ererer
lo,40,DSLW_SNA,,,,,teldat,,,,,ererer
ip_fisica,,Fisica,,10.35.132.60,,,teldat,,,,,ererer
