type,vlan,name,red,ip / mask,cidr,wildcard,device,oficina,departamento,direcion,cid,tmp
L2L3,5,TELEFONIAIP|AG_CENLENDIN|CD=46050,10.36.41.32/27,10.36.41.60 255.255.255.224,/27,0.0.0.31,,Celendin,Ayacucho,JIRON DOS DE MAYO N 518,,ererer
L2L3,106,LAN/CAJA NUESTRA GENTE,10.43.41.40/29,10.43.41.44 255.255.255.248,/29,0.0.0.7,,Celendin,Ayacucho,JIRON DOS DE MAYO N 518,,ererer
L2L3,200,LAN|AG CELENDIN|CD=46050,10.33.41.0/26,10.33.41.60 255.255.255.192,/26,0.0.0.63,,Celendin,Ayacucho,JIRON DOS DE MAYO N 518,,ererer
L2L3,201,LAN|AG CELENDIN|CD=46050,10.33.41.64/27,10.33.41.92 255.255.255.224,/27,0.0.0.31,,Celendin,Ayacucho,JIRON DOS DE MAYO N 518,,ererer
L2L3,207,LAN|AG CELENDIN|CD=46050,10.33.41.128/25,10.33.41.252 255.255.255.128,/25,0.0.0.127,,Celendin,Ayacucho,JIRON DOS DE MAYO N 518,,ererer
L2L3,301,CCTV,10.53.41.0/29,10.53.41.4 255.255.255.248,/29,0.0.0.7,,Celendin,Ayacucho,JIRON DOS DE MAYO N 518,,ererer
L2L3,302,HIPERCHANNEL,10.53.41.8/29,10.53.41.12 255.255.255.248,/29,0.0.0.7,,Celendin,Ayacucho,JIRON DOS DE MAYO N 518,,ererer
L2L3,303,ALARMA,10.53.41.16/29,10.53.41.20 255.255.255.248,/29,0.0.0.7,,Celendin,Ayacucho,JIRON DOS DE MAYO N 518,,ererer
L2L3,304,HIPERCHANNEL,10.53.41.24/29,10.53.41.28 255.255.255.248,/29,0.0.0.7,,Celendin,Ayacucho,JIRON DOS DE MAYO N 518,,ererer
L2L3,306,VZIP,10.53.41.64/27,10.53.41.92 255.255.255.224,/27,0.0.0.31,,Celendin,Ayacucho,JIRON DOS DE MAYO N 518,,ererer
L2L3,307,IMPRESORA,10.53.41.96/29,10.53.41.100 255.255.255.248,/29,0.0.0.7,,Celendin,Ayacucho,JIRON DOS DE MAYO N 518,,ererer
lo,10,GESTION,10.233.27.170/32,10.233.27.170,/32,0.0.0.0,cisco,Celendin,Ayacucho,JIRON DOS DE MAYO N 518,,ererer
lo,20,MRA,10.99.194.213/32,10.99.194.213,/32,0.0.0.0,cisco,Celendin,Ayacucho,JIRON DOS DE MAYO N 518,,ererer
lo,30,GETVPN,192.174.175.165/32,192.174.175.165,/32,0.0.0.0,cisco,Celendin,Ayacucho,JIRON DOS DE MAYO N 518,,ererer
lo,40,DSLW_SNA,192.174.178.165/32,192.174.178.165,/32,0.0.0.0,cisco,Celendin,Ayacucho,JIRON DOS DE MAYO N 518,,ererer
ip_wan,,,10.66.70.0/29,10.66.70.2,/29,0.0.0.7,cisco,Celendin,Ayacucho,JIRON DOS DE MAYO N 518,,ererer
ip_mod_peer,,PEER_GBP|IP_MODEM,,10.66.70.1,/29,0.0.0.7,cisco,Celendin,Ayacucho,JIRON DOS DE MAYO N 518,,ererer
lo,40,DSLW_SNA,,,,,teldat,Celendin,Ayacucho,JIRON DOS DE MAYO N 518,,ererer
