type,vlan,name,red,ip / mask,cidr,wildcard,device,oficina,departamento,direcion,cid,tmp
L2L3,5,VoIP-AGENCIA,10.36.112.96/27,10.36.112.125 255.255.255.224,/27,0.0.0.31,,,,,,ererer
L2L3,200,SNA,10.35.112.0/26,10.35.112.61 255.255.255.192,/26,0.0.0.63,,,,,,ererer
L2L3,201,ATM,10.35.112.64/27,10.35.112.93 255.255.255.224,/27,0.0.0.31,,,,,,ererer
L2L3,207,,10.35.112.128/25,10.35.112.253 255.255.255.128,/25,0.0.0.127,,,,,,ererer
L2L3,301,CCTV,10.55.112.0/29,10.55.112.5 255.255.255.248,/29,0.0.0.7,,,,,,ererer
L2L3,302,HIPERCHANNEL,10.55.112.8/29,10.55.112.13 255.255.255.248,/29,0.0.0.7,,,,,,ererer
L2L3,303,ALARMA,10.55.112.16/29,10.55.112.21 255.255.255.248,/29,0.0.0.7,,,,,,ererer
L2L3,306,VZIP,10.55.112.64/27,10.55.112.93 255.255.255.224,/27,0.0.0.31,,,,,,ererer
L2L3,307,IMPRESORAS,10.55.112.96/29,10.55.112.101 255.255.255.248,/29,0.0.0.7,,,,,,ererer
lo,10,GESTION,,,/32,0.0.0.0,cisco,,,,,ererer
lo,20,MRA,,,/32,0.0.0.0,cisco,,,,,ererer
lo,30,GETVPN,,,/32,0.0.0.0,cisco,,,,,ererer
lo,40,DSLW_SNA,,,/32,0.0.0.0,cisco,,,,,ererer
ip_wan,,,,,,,cisco,,,,,ererer
ip_mod_peer,,PEER_GBP|IP_MODEM,,,,,cisco,,,,,ererer
lo,40,DSLW_SNA,,,,,teldat,,,,,ererer
ip_fisica,,Fisica,,10.35.112.60,,,teldat,,,,,ererer
