L2,1,,,,,,,,,,,ererer
L2L3,60,VoIP,10.65.68.16/29,10.65.68.17 255.255.255.248,/29,0.0.0.7,,,,,,ererer
L2L3,201,GTH LAN Dependencia - VLAN 201 (ATM),10.84.68.64/27,10.84.68.94 255.255.255.224,/27,0.0.0.31,,,,,,ererer
L2L3,207,GTH LAN Dependencia - VLAN 201 (ATM),10.84.68.128/25,10.84.68.254 255.255.255.128,/25,0.0.0.127,,,,,,ererer
L2L3,303,GTH LAN Dependencia - VLAN 303 (ALARMAS),10.58.68.16/29,10.58.68.22 255.255.255.248,/29,0.0.0.7,,,,,,ererer
L2L3,304,GTH LAN Dependencia - VLAN 304 (UPS),10.58.68.24/29,10.58.68.30 255.255.255.248,/29,0.0.0.7,,,,,,ererer
L2L3,306,GTH LAN Dependencia - VLAN 306 (VZIP),10.58.68.64/27,10.58.68.94 255.255.255.224,/27,0.0.0.31,,,,,,ererer
lo,10,GESTION,,10.10.10.10,,,teldat,,,,,ererer
lo,20,MRA,,20.20.20.20,,,teldat,,,,,ererer
lo,30,GETVPN,,30.30.30.30,,,teldat,,,,,ererer
lo,40,DSLW_SNA,,40.40.40.40,,,teldat,,,,,ererer
ip_wan,,,,,,,teldat,,,,,ererer
ip_mod_peer,,PEER_GBP|IP_MODEM,,,,,teldat,,,,,ererer
lo,40,DSLW_SNA,,,,,cisco,,,,,ererer
